program_id,Математика,Совместная магистратура НИУ ВШЭ и ЦПМ,Анализ данных в биологии и медицине,Биоинформатика в агробиотехнологиях,Науки о данных,Математика машинного обучения,Информационная безопасность и технологии искусственного интеллекта,Информационная безопасность в кредитно-финансовой сфере,Компьютерные системы и сети,Системная и программная инженерия,Системное программирование,Прикладные модели искусственного интеллекта,Технологии искусственного интеллекта в телекоммуникациях,Современные компьютерные науки,Физика,Химия молекулярных систем и материалов,Управление пространственным развитием городов,Управление низкоуглеродным развитием,Системный анализ и математические технологии,Прикладная социальная психология,Позитивная психология,Персонология. Консультативная психология и психотерапия,"Управление исследованиями, разработками и инновациями в компании",Управление и экономика здравоохранения,"Управление в сфере науки, технологий и инноваций",Прикладная электроника и фотоника,Интернет вещей и киберфизические системы,Клеточная и молекулярная биотехнология,Когнитивные науки и технологии: от нейрона к познанию,Аппаратно-программные комплексы искусственного интеллекта,Международная торговая политика,Мировая экономика,Маркетинг: цифровые технологии и маркетинговые коммуникации,Международный менеджмент,Литературное мастерство,Компьютерная лингвистика,Теория языка и полевая лингвистика,Культурные исследования,История художественной культуры и рынок искусства,Дизайн,"Классический и современный Восток: языки, культуры, религии",Интерактивные медиа и цифровые индустрии,Кинопроизводство,Комплексный социальный анализ,Демография,Государственное и муниципальное управление,Финансовая экономика,Экономика и экономическая политика,Статистический анализ в экономике,Стохастическое моделирование в экономике и финансах,Стратегический менеджмент: инвестиции и консалтинг,Операционная эффективность и производственные системы,Население и развитие,Стратегическое управление финансами фирмы,Сравнительные социальные исследования,Современное частное право,Публичное право,Право международной торговли и разрешение споров,Международные отношения: европейские и азиатские исследования,Юрист в бизнесе,Юрист в правосудии,Цифровое право,Сравнительное правоведение и фундаментальный правовой анализ,Фармправо и здравоохранение,Финансовые рынки и финансовые институты,Государственно-конфессиональные отношения. Правовое регулирование деятельности религиозных объединений,Комплаенс и профилактика правовых рисков,Социальный анализ рынков на цифровых и опросных данных,Социология публичной сферы и цифровая аналитика,Бизнес-информатика: цифровое предприятие и управление информационными системами,Современная журналистика,Политика. Экономика. Философия,Прикладная политология,Цифровые коммуникации и продуктовая аналитика,Коммуникации в государственных структурах и НКО,Интегрированные коммуникации,Современные медиаисследования и аналитика,Современные технологии преподавания дизайна и искусства,Педагогическое образование,Медиаменеджмент,Философские исследования,Современное востоковедение,Русский язык как иностранный,Аналитик деловой разведки,Обучение и оценивание как наука,UX-аналитика и проектирование информационных систем,Машинное обучение и анализ данных,Физика,Аналитика данных для бизнеса и экономики,Аналитика данных для бизнеса и экономики,Финансы,Международный бизнес в странах Азиатско-Тихоокеанского региона,Городское развитие и управление,Стратегическое управление логистикой и цепями поставок,Менеджмент в индустрии впечатлений,Современный социальный анализ,Право интеллектуальной собственности в цифровую эпоху,Гражданское и коммерческое право,Право и государственное управление,Медиапроизводство и медиааналитика,Языковые технологии в бизнесе и образовании,Русская литература в кросс-культурной и интермедиальной перспективах,Глобальная и региональная история,Дизайн,Кросс-культурные исследования Азии и Африки в контексте международных отношений,Анализ данных для государства и общества,Анализ данных для государства и общества,Экономика и бизнес-консалтинг,Бизнес- и ИТ-архитектура высокотехнологичных компаний,Вычислительная биология и биоинформатика,Иностранные языки и межкультурная коммуникация,Нейробиология,Цифровой инжиниринг в телекоммуникациях,Цифровые технологии в гуманитарных исследованиях,Археологические исследования,Исторические исследования,Филологические исследования,Психологическое сопровождение в сфере управления здоровьем и благополучием,Социальное предпринимательство и инновации,Политика и глобальное управление в Евразии,Политика и глобальное управление в Евразии,Религиозная дипломатия в многополярном мире,Умные устройства: аппаратная разработка,Пространственные данные и прикладная геоаналитика,Доказательное развитие образования
Комплаенс и профилактика правовых рисков,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,28.0,21.0,31.0,4.0,37.0,24.0,26.0,24.0,18.0,2.0,14.0,55.0,1.0,1.0,2.0,3.0,3.0,5.0,2.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Социальный анализ рынков на цифровых и опросных данных,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,12.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,21.0,14.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
Социология публичной сферы и цифровая аналитика,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,9.0,5.0,0.0,1.0,0.0,4.0,4.0,3.0,1.0,5.0,3.0,17.0,9.0,7.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,14.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,14.0,35.0,0.0,4.0,2.0,3.0,3.0,4.0,5.0,6.0,0.0,0.0,5.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0
Бизнес-информатика: цифровое предприятие и управление информационными системами,3.0,2.0,8.0,4.0,17.0,8.0,9.0,10.0,13.0,13.0,10.0,13.0,7.0,14.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,12.0,1.0,7.0,1.0,4.0,1.0,0.0,5.0,5.0,7.0,12.0,10.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,5.0,7.0,5.0,7.0,3.0,9.0,10.0,0.0,9.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,0.0,0.0,9.0,1.0,2.0,0.0,0.0,97.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0
Современная журналистика,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,11.0,11.0,5.0,0.0,0.0,4.0,3.0,5.0,2.0,22.0,13.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,3.0,1.0,3.0,5.0,4.0,9.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,1.0,56.0,4.0,3.0,10.0,9.0,10.0,10.0,1.0,2.0,19.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
Политика. Экономика. Философия,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,4.0,6.0,1.0,1.0,0.0,5.0,2.0,1.0,2.0,4.0,4.0,1.0,2.0,13.0,4.0,7.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,6.0,4.0,11.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,2.0,2.0,1.0,4.0,40.0,19.0,5.0,6.0,4.0,4.0,1.0,3.0,4.0,7.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0
Прикладная политология,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,3.0,5.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,13.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,4.0,10.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,5.0,2.0,3.0,1.0,3.0,19.0,33.0,3.0,6.0,5.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Цифровые коммуникации и продуктовая аналитика,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,4.0,5.0,4.0,3.0,7.0,0.0,1.0,0.0,4.0,0.0,7.0,4.0,27.0,19.0,2.0,1.0,0.0,2.0,2.0,5.0,1.0,22.0,13.0,2.0,1.0,9.0,2.0,4.0,2.0,2.0,13.0,5.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,5.0,1.0,2.0,3.0,3.0,4.0,10.0,5.0,3.0,42.0,13.0,23.0,15.0,0.0,0.0,21.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0
Коммуникации в государственных структурах и НКО,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,5.0,6.0,3.0,4.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,15.0,11.0,3.0,0.0,0.0,4.0,3.0,4.0,1.0,13.0,10.0,1.0,1.0,13.0,1.0,3.0,1.0,1.0,8.0,4.0,3.0,3.0,1.0,3.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,9.0,6.0,6.0,13.0,43.0,19.0,11.0,1.0,2.0,19.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0
Интегрированные коммуникации,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,3.0,4.0,3.0,7.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,28.0,18.0,2.0,1.0,0.0,4.0,3.0,4.0,1.0,20.0,13.0,1.0,1.0,11.0,1.0,2.0,1.0,1.0,13.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,6.0,4.0,2.0,3.0,2.0,1.0,5.0,1.0,3.0,2.0,5.0,3.0,10.0,4.0,5.0,23.0,19.0,50.0,12.0,0.0,0.0,23.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0
Современные медиаисследования и аналитика,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,3.0,4.0,4.0,3.0,7.0,0.0,1.0,0.0,3.0,1.0,4.0,3.0,13.0,12.0,3.0,1.0,0.0,4.0,4.0,2.0,1.0,25.0,11.0,4.0,3.0,4.0,2.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,6.0,1.0,10.0,4.0,3.0,15.0,11.0,12.0,37.0,0.0,1.0,25.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
Современные технологии преподавания дизайна и искусства,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Педагогическое образование,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,2.0,0.0,1.0,4.0,43.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
Медиаменеджмент,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,5.0,6.0,7.0,4.0,6.0,0.0,1.0,0.0,3.0,1.0,9.0,7.0,27.0,27.0,5.0,1.0,0.0,4.0,3.0,2.0,1.0,47.0,28.0,3.0,3.0,9.0,4.0,4.0,2.0,2.0,11.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0,8.0,3.0,3.0,4.0,2.0,3.0,6.0,1.0,2.0,3.0,5.0,3.0,19.0,4.0,3.0,21.0,19.0,23.0,25.0,1.0,1.0,76.0,1.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0
Философские исследования,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,5.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,7.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,7.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,27.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Современное востоковедение,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,1.0,6.0,1.0,2.0,1.0,2.0,2.0,1.0,15.0,3.0,2.0,0.0,0.0,5.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,18.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,4.0,4.0,43.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Русский язык как иностранный,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Аналитик деловой разведки,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,6.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,11.0,8.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,3.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Обучение и оценивание как наука,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,8.0,8.0,1.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
UX-аналитика и проектирование информационных систем,0.0,0.0,3.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Машинное обучение и анализ данных,2.0,1.0,4.0,1.0,9.0,5.0,2.0,1.0,3.0,3.0,2.0,6.0,2.0,6.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,46.0,0.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Физика,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Аналитика данных для бизнеса и экономики,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,46.0,30.0,8.0,12.0,6.0,10.0,9.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
